"Costs for inland shipping","Koszt dostawy krajowej"
"Costs for shipping to foreign countries","Koszt dostawy zagranicznej"
"Custom text for checkout page","Dodatkowy tekst"
"Cash on Delivery fee","Cash on Delivery fee"
"You will be charged an extra fee of %s.","You will be charged an extra fee of %s."
"Incl. Tax","Incl. Tax"
